time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1690-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-08-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-09-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-10-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-11-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691-12-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-01-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-02-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-08-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-09-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-10-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-11-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695-12-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-01-26 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-02-26 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
